No.overall,No._inseason,Title,Directed_by,Written_by,Original_air_date,Prod.code,U.S._viewers_millions,Season
37,20,"""The Hofstadter Isotope""",Mark Cendrowski,Dave Goetsch,13/04/2009,3T7370,10.1,2
38,21,"""The Vegas Renormalization""",Mark Cendrowski,Story by : Jessica Ambrosetti & Nicole Lorre & Andrew RothTeleplay by : Steven Molaro,27/04/2009,3T7371,9.31,2
39,22,"""The Classified Materials Turbulence""",Mark Cendrowski,Story by : Chuck Lorre & Lee AronsohnTeleplay by : Bill Prady & Steven Molaro,04/05/2009,3T7373,9.25,2
40,23,"""The Monopolar Expedition""",Mark Cendrowski,Eric Kaplan & Richard Rosenstock,11/05/2009,3T7372,9.81,2
41,1,"""The Electric Can Opener Fluctuation""",Mark Cendrowski,Steven Molaro,21/09/2009,3X5551,12.9,3
42,2,"""The Jiminy Conjecture""",Mark Cendrowski,Jim Reynolds,28/09/2009,3X5552,13.2,3
43,3,"""The Gothowitz Deviation""",Mark Cendrowski,Story by : Lee Aronsohn & Richard RosenstockTeleplay by : Bill Prady & Maria Ferrari,05/10/2009,3X5553,12.5,3
44,4,"""The Pirate Solution""",Mark Cendrowski,Steve Holland,12/10/2009,3X5554,13,3
45,5,"""The Creepy Candy Coating Corollary""",Mark Cendrowski,Story by : Chuck Lorre & Bill PradyTeleplay by : Lee Aronsohn & Steven Molaro,19/10/2009,3X5556,13.4,3
46,6,"""The Cornhusker Vortex""",Mark Cendrowski,Story by : Bill Prady & Steven MolaroTeleplay by : Dave Goetsch & Richard Rosenstock,02/11/2009,3X5555,12.7,3
47,7,"""The Guitarist Amplification""",Mark Cendrowski,Story by : Chuck Lorre & Lee AronsohnTeleplay by : Bill Prady & Richard Rosenstock & Jim Reynolds,09/11/2009,3X5557,12.7,3
48,8,"""The Adhesive Duck Deficiency""",Mark Cendrowski,Story by : Chuck Lorre & Bill Prady & Dave GoetschTeleplay by : Steven Molaro & Eric Kaplan & Maria Ferrari,16/11/2009,3X5558,13.2,3
